id,title_english,title_original,director,country,winner,festival,year_festival,link_film,link_director,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,InternetMovieDatabaseRating,RottenTomatoesRating,MetacriticRating,Error,totalSeasons,Ratings
449,Carrie,N/A,William Wyler,United States,0,venice,1952,https://en.wikipedia.org/wiki/Carrie_(1952_film),https://en.wikipedia.org/wiki/William_Wyler,Carrie,1952,Approved,31 Oct 1952,118 min,"Drama, Romance",William Wyler,"Theodore Dreiser (novel), Ruth Goetz, Augustus Goetz","Laurence Olivier, Jennifer Jones, Miriam Hopkins, Eddie Albert","Carrie boards the train to Chicago with big ambitions. She gets a job stitching shoes and her sister's husband takes almost all of her pay for room and board. Then she injures a finger and is fired. This is the 1890s. Charles Drouet, a salesman she met on the train, comes to her rescue, invites her to dine at Fitzgerald's where the manager George Hurstwood sends over a bottle of champagne. Stay in Drouet's apartment. He will be on the road 10 days. When she leaves the apartment many months later -- on a train bound for New York -- her traveling companion is Hurstwood. Why is he in such a hurry?",English,USA,Nominated for 2 Oscars. Another 3 nominations.,https://m.media-amazon.com/images/M/MV5BMTM2Zjc1OGYtNWZmNy00NzFjLWE2ZDEtYzlkYTUwNzBhNGQ0XkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg,N/A,7.4,"1,900",tt0044486,movie,18 Jan 2005,N/A,Paramount Pictures,N/A,True,7.4/10,80%,N/A,,,
450,Death of a Salesman,N/A,László Benedek,United States,0,venice,1952,https://en.wikipedia.org/wiki/Death_of_a_Salesman_(1951_film),https://en.wikipedia.org/wiki/L%C3%A1szl%C3%B3_Benedek,Death of a Salesman,1951,N/A,09 May 1952,115 min,Drama,Laslo Benedek,"Arthur Miller (play), Stanley Roberts","Fredric March, Mildred Dunnock, Kevin McCarthy, Cameron Mitchell",An over-the-hill salesman faces a personal turning point when he loses his job and attempts to make peace with his family.,English,USA,Nominated for 5 Oscars. Another 6 wins & 6 nominations.,https://m.media-amazon.com/images/M/MV5BNzY1Y2JjOGEtZmVjZi00YWEwLTlkZDMtNGMwYmJkODUzNmRjXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg,N/A,7.4,711,tt0043458,movie,N/A,N/A,Columbia Pictures,N/A,True,7.4/10,N/A,N/A,,,
451,The Life of Oharu,Saikaku Ichidai Onna,Kenji Mizoguchi,Japan,0,venice,1952,https://en.wikipedia.org/wiki/The_Life_of_Oharu,https://en.wikipedia.org/wiki/Kenji_Mizoguchi,The Life of Oharu,1952,Not Rated,20 Apr 1964,133 min,Drama,Kenji Mizoguchi,"Saikaku Ihara (novel), Kenji Mizoguchi, Yoshikata Yoda","Kinuyo Tanaka, Tsukie Matsuura, Ichirô Sugai, Toshirô Mifune","A fifty-year-old prostitute, no longer able to attract men, looks back on her sad life. Once a lady-in-waiting at the imperial court at Kyoto, Oharu fell in love with, and became the lover of, a man below her station. They were discovered, and Oharu and her family were exiled. For Oharu there followed a life filled with one sorrow and humiliation after another.",Japanese,Japan,2 wins & 1 nomination.,https://m.media-amazon.com/images/M/MV5BOGMyZDkzNmItYzEzZC00YmJmLWE2ZTItNGRiMGQ5YzA4ZWI1XkEyXkFqcGdeQXVyMTIyNzY1NzM@._V1_SX300.jpg,N/A,8.2,"5,651",tt0045112,movie,13 May 1997,N/A,Criterion Collection,N/A,True,8.2/10,100%,N/A,,,
452,Phone Call from a Stranger,N/A,Jean Negulesco,United States,0,venice,1952,https://en.wikipedia.org/wiki/Phone_Call_from_a_Stranger,https://en.wikipedia.org/wiki/Jean_Negulesco,Phone Call from a Stranger,1952,N/A,15 Feb 1952,105 min,"Drama, Film-Noir",Jean Negulesco,"Nunnally Johnson (screenplay), I.A.R. Wylie (story)","Shelley Winters, Gary Merrill, Michael Rennie, Keenan Wynn","On a flight from Chicago to Los Angeles via Iowa, lawyer David Trask gets to know three of his fellow passengers as one technical issue after another leads to delays and unscheduled stops along the way. Those three are physician Dr. Robert Fortness, struggling actress with the stage name Binky Gay, and loud salesman Eddie Hoke, who is both quick with a joke and quick to show off a photograph of his beautiful wife, Marie Hoke. Below the surface, the three have deeper stories, which are bringing them back to Los Angeles and which Dr. Fortness and Binky divulge to David. Dr. Fortness, an alcoholic, is returning to own up to his drunken part in the death of a friend, and his wife Claire's complicity in the matter. Binky, after being away in New York for a year, is returning to her husband, Mike Carr, hoping to take him away from his overbearing mother, former vaudeville star Sally Carr, who still basks in her former but no longer shining glory, and who is the cause of any marital problem she and Mike have had as she sees Binky as competition in every sense of the word. Because of an incident en route and his burgeoning friendship with them, David feels compelled to help them resolve their issues. Specifically in dealing with Eddie's life, David is forced to reflect on his own and the reason he left his home in Midland City, Iowa.",English,USA,1 win & 1 nomination.,https://m.media-amazon.com/images/M/MV5BNjU1NjBmODgtMzE2NC00NGM2LWE0MjUtZWYyMGJmYzJjMGYxXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg,N/A,7.0,"2,071",tt0045029,movie,08 Apr 2008,N/A,Twentieth Century Fox,N/A,True,7.0/10,N/A,N/A,,,
453,Mandy,N/A,Alexander Mackendrick,United Kingdom,0,venice,1952,https://en.wikipedia.org/wiki/Mandy_(1952_film),https://en.wikipedia.org/wiki/Alexander_Mackendrick,,,,,,,,,,,,,,,,,,,,,,,,False,,,,Movie not found!,,
454,Europe '51,Europa '51,Roberto Rossellini,Italy,0,venice,1952,https://en.wikipedia.org/wiki/Europe_%2751,https://en.wikipedia.org/wiki/Roberto_Rossellini,Europe '51,1952,Not Rated,03 Nov 1954,118 min,Drama,Roberto Rossellini,"Roberto Rossellini (story), Roberto Rossellini, Sandro De Feo, Mario Pannunzio, Ivo Perilli, Brunello Rondi","Ingrid Bergman, Alexander Knox, Ettore Giannini, Giulietta Masina","Irene Girard is an ambassador's wife and used to living in luxury. After the dramatic death of her son, she feels guilty of having neglected him and feels compelled to help people in need who cross her path. One day she offers shelter to a man who is evading justice, and she ends being arrested herself. Her husband, for the sake of social propriety, arranges for a doctor to declare her insane. Irene escapes one prison to enter another, and to reflect on what sort of society she lives in.",Italian,Italy,4 wins & 1 nomination.,https://m.media-amazon.com/images/M/MV5BMjc2Zjg5YWItNzg4Ni00ZTYwLThmMmItNDM3Njg2MWE4NWY1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,N/A,7.5,"3,017",tt0043511,movie,N/A,N/A,I.F.E. Releasing Co.,N/A,True,7.5/10,N/A,N/A,,,
455,The Importance of Being Earnest,N/A,Anthony Asquith,United Kingdom,0,venice,1952,https://en.wikipedia.org/wiki/The_Importance_of_Being_Earnest_(1952_film),https://en.wikipedia.org/wiki/Anthony_Asquith,The Importance of Being Earnest,1952,Not Rated,15 Aug 1952,95 min,"Comedy, Drama",Anthony Asquith,N/A,"Michael Redgrave, Richard Wattis, Michael Denison, Walter Hudd",Jack Worthing and Algernon Moncrieff are two men that are both pretending to be someone they are not.,English,UK,Nominated for 1 BAFTA Film Award. Another 1 win & 1 nomination.,https://m.media-amazon.com/images/M/MV5BMGExZDdiMzQtMWQ0Ny00OTkyLTgyNWItMWYyNmQ5MmYyOWVjXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg,N/A,7.5,"4,858",tt0044744,movie,25 Jun 2002,N/A,General Film Distributors,N/A,True,7.5/10,88%,N/A,,,
456,Genghis Khan,N/A,Manuel Conde,Philippines,0,venice,1952,https://en.wikipedia.org/wiki/Genghis_Khan_(1950_film),https://en.wikipedia.org/wiki/Manuel_Conde,Red Plume - Genghis Khan,1952,N/A,18 Dec 1952,75 min,"Adventure, Biography, History",Aydin Arakon,"Aydin Arakon, Abdullah Ziya Kozanoglu (novel)","Mesiha Yelda, Turan Seyfioglu, Cahit Irgat, Nebile Teker",N/A,Turkish,Turkey,N/A,N/A,N/A,6.9,28,tt0319691,movie,N/A,N/A,N/A,N/A,True,6.9/10,N/A,N/A,,,
457,N/A,I Vitelloni,Federico Fellini,Italy,0,venice,1953,https://en.wikipedia.org/wiki/I_Vitelloni,https://en.wikipedia.org/wiki/Federico_Fellini,I Vitelloni,1953,Not Rated,07 Nov 1956,104 min,"Comedy, Drama",Federico Fellini,"Federico Fellini (story), Ennio Flaiano (story), Tullio Pinelli (story), Federico Fellini (screenplay), Ennio Flaiano (screenplay)","Franco Interlenghi, Alberto Sordi, Franco Fabrizi, Leopoldo Trieste","Fausto Moretti, having seduced Sandra Rubini, the sister of his friend and companion Moraldo Rubini, is forced to marry her. After their honeymoon, he takes a job as a salesman of religious objects in a small shop. He isn't changed by his marriage and still looks for women, with his friends, when and where they can find them. He even tries to seduce the wife of his boss and is fired. After each episode, Sandra forgives him. He and his friends of similar temperament are content to be idle, chase girls and leave the work and job-hunting to others. After spending the night away from home with a girl, Sandra cannot forgive anymore and runs off with their child. Fausto and his friends search all over for them, fearing the worst.",Italian,"Italy, France",Nominated for 1 Oscar. Another 4 wins & 2 nominations.,https://m.media-amazon.com/images/M/MV5BMjlkZDQwNjYtYjM3ZS00YTQyLTkwYTItNTJhYjA2NWJhMDVlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,87,7.9,"13,772",tt0046521,movie,24 Aug 2004,N/A,Janus Films,N/A,True,7.9/10,100%,87/100,,,
458,Roman Holiday,N/A,William Wyler,United States,0,venice,1953,https://en.wikipedia.org/wiki/Roman_Holiday,https://en.wikipedia.org/wiki/William_Wyler,Roman Holiday,1953,Not Rated,02 Sep 1953,118 min,"Comedy, Romance",William Wyler,"Ian McLellan Hunter (screenplay), John Dighton (screenplay), Dalton Trumbo (screenplay), Dalton Trumbo (story)","Gregory Peck, Audrey Hepburn, Eddie Albert, Hartley Power","Joe Bradley is a reporter for the American News Service in Rome, a job he doesn't much like as he would rather work for what he considers a real news agency back in the States. He is on the verge of getting fired when he, sleeping in and getting caught in a lie by his boss Hennessy, misses an interview with HRH Princess Ann, who is on a goodwill tour of Europe, Rome only her latest stop. However, he thinks he may have stumbled upon a huge scoop. Princess Ann has officially called off all her Rome engagements due to illness. In reality, he recognizes the photograph of her as being the young well but simply dressed drunk woman he rescued off the street last night (as he didn't want to turn her into the police for being a vagrant), and who is still in his small studio apartment sleeping off her hangover. What Joe doesn't know is that she is really sleeping off the effects of a sedative given to her by her doctor to calm her down after an anxiety attack, that anxiety because she hates her regimented life where she has no freedom and must always do and say the politically correct things, not what is truly on her mind or in her heart. In wanting just a little freedom, she seized upon a chance opportunity to escape from the royal palace where she was staying, albeit with no money in her pockets. Joe believes he can get an exclusive interview with her without she even knowing that he's a reporter or that he's interviewing her. As Joe accompanies ""Anya Smith"" - her name as she tells him in trying to hide her true identity - around Rome on her incognito day of freedom somewhat unaware that the secret service is searching for her, along for the ride is Joe's photographer friend, Irving Radovich, who Joe has tasked with clandestinely taking photographs of her, those photos to accompany the story. As the day progresses, Joe and Ann slowly start to fall for each other. Their feelings for each other affect what both decide to do, Ann with regard to her royal duties, Joe with regard to the story, and both with regard to if there is a future for them together.","English, Italian, German",USA,Won 3 Oscars. Another 8 wins & 15 nominations.,https://m.media-amazon.com/images/M/MV5BMTE2MDM4MTMtZmNkZC00Y2QyLWE0YjUtMTAxZGJmODMxMDM0XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,78,8.0,"120,405",tt0046250,movie,26 Nov 2002,N/A,Paramount Pictures,N/A,True,8.0/10,98%,78/100,,,
459,Thérèse Raquin,The Adultress,Marcel Carné,France,0,venice,1953,https://en.wikipedia.org/wiki/Th%C3%A9r%C3%A8se_Raquin_(1953_film),https://en.wikipedia.org/wiki/Marcel_Carn%C3%A9,The Adultress,1953,Not Rated,06 Nov 1953,102 min,"Crime, Drama, Romance",Marcel Carné,"Émile Zola (novel), Marcel Carné (adaptation), Charles Spaak (adaptation), Charles Spaak (dialogue)","Simone Signoret, Raf Vallone, Jacques Duby, Maria Pia Casilio","Therese has a boring life. She married Camille, her cousin, a sickly haberdasher, fully dominated by his mother (who lives with them). She dreams about passion. One day comes a truckdriver, Laurent... and of course they fall in love. But they will be pursued by fate.",French,"France, Italy",2 wins & 2 nominations.,https://m.media-amazon.com/images/M/MV5BMTk5MzgzNTc1M15BMl5BanBnXkFtZTcwMzQ3NjUzMQ@@._V1_SX300.jpg,N/A,7.3,"1,078",tt0046429,movie,22 Nov 2005,N/A,Paris Films Productions,N/A,True,7.3/10,N/A,N/A,,,
460,Easy Years,Anni facili,Luigi Zampa,Italy,0,venice,1953,https://en.wikipedia.org/wiki/Easy_Years,https://en.wikipedia.org/wiki/Luigi_Zampa,Easy Years,1953,N/A,12 Nov 1953,98 min,Comedy,Luigi Zampa,"Sergio Amidei (screenplay), Vitaliano Brancati (screenplay), Vitaliano Brancati (story), Vincenzo Talarico (screenplay), Luigi Zampa (screenplay)","Nino Taranto, Alda Mangini, Gino Buzzanca, Clelia Matania",A Sicilian professor who moves to Rome gets lost in the maze of Roman ministries and gives in to corruption.,Italian,Italy,2 wins & 1 nomination.,https://m.media-amazon.com/images/M/MV5BNGQzM2JhMjctMTAwOC00NmIyLWJjYjktOWY1NGQ4YmFkNWM3XkEyXkFqcGdeQXVyMDk1ODM3MA@@._V1_SX300.jpg,N/A,7.4,16,tt0045510,movie,N/A,N/A,N/A,N/A,True,7.4/10,N/A,N/A,,,
461,Neapolitans in Milan,Napoletani a Milano,Eduardo De Filippo,Italy,0,venice,1953,https://en.wikipedia.org/wiki/Napoletani_a_Milano,https://en.wikipedia.org/wiki/Eduardo_De_Filippo,Neapolitans in Milan,1953,N/A,06 Sep 1953,98 min,Comedy,Eduardo De Filippo,"Eduardo De Filippo, Agenore Incrocci, Furio Scarpelli","Anna Maria Ferrero, Francesco Penza, Pietro d'Addio, Guido Zacchetti",N/A,Italian,Italy,1 nomination.,N/A,N/A,6.6,37,tt0046120,movie,N/A,N/A,N/A,N/A,True,6.6/10,N/A,N/A,,,
462,Moulin Rouge,N/A,John Huston,United Kingdom,0,venice,1953,https://en.wikipedia.org/wiki/Moulin_Rouge_(1952_film),https://en.wikipedia.org/wiki/John_Huston,Moulin Rouge,1952,Not Rated,10 Apr 1953,119 min,"Biography, Drama, Music, Romance",John Huston,"Pierre La Mure (novel), Anthony Veiller (screenplay), John Huston (screenplay)","José Ferrer, Zsa Zsa Gabor, Suzanne Flon, Claude Nollier","Henri de Toulouse-Lautrec frequently visits the Moulin Rouge, where he drinks cognac and draws sketches of the dancers and singers. Though the son of a French count, Henri's legs were badly deformed by a childhood fall, and his personal life is often unhappy as a result. While he is going home one night, a spirited young woman of the streets, Marie, asks him for help. He falls in love with her, and the two become involved in a tumultuous relationship. It becomes increasingly difficult for Toulouse-Lautrec to balance his personal feelings, his artistic abilities, and his family name and position.","English, French",UK,Won 2 Oscars. Another 4 wins & 10 nominations.,https://m.media-amazon.com/images/M/MV5BMjYwNjllODAtZTFmYi00YmJjLWJmM2UtNjk1MjQ4MzBhYjViL2ltYWdlXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,N/A,7.1,"4,703",tt0044926,movie,15 Jun 2004,N/A,United Artists,N/A,True,7.1/10,78%,N/A,,,
463,Pickup on South Street,N/A,Samuel Fuller,United States,0,venice,1953,https://en.wikipedia.org/wiki/Pickup_on_South_Street,https://en.wikipedia.org/wiki/Samuel_Fuller,Pickup on South Street,1953,Passed,01 Aug 1953,80 min,"Crime, Film-Noir, Thriller",Samuel Fuller,"Samuel Fuller (screenplay), Dwight Taylor (story)","Richard Widmark, Jean Peters, Thelma Ritter, Murvyn Vye","On a crowded subway, Skip McCoy picks the purse of Candy. Among his take, although he does not know it at the time, is a piece of top-secret microfilm that was being passed by Candy's consort, a Communist agent. Candy discovers the whereabouts of the film through Moe Williams, a police informer. She attempts to seduce McCoy to recover the film. She fails to get back the film and falls in love with him. The desperate agent exterminates Moe and savagely beats Candy. McCoy, now goaded into action, confronts the agent in a particularly brutal fight in a subway.",English,USA,Nominated for 1 Oscar. Another 1 win & 1 nomination.,https://m.media-amazon.com/images/M/MV5BOTJmYjMwMWItODMzNC00M2M3LTk1NzEtMjg2YjI1MmFlZDM4XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,N/A,7.7,"11,630",tt0046187,movie,08 Nov 2005,N/A,Twentieth Century Fox,N/A,True,7.7/10,91%,N/A,,,
464,The Four Poster,N/A,Irving Reis,United States,0,venice,1953,https://en.wikipedia.org/wiki/The_Four_Poster_(film),https://en.wikipedia.org/wiki/Irving_Reis,The Four Poster,1952,APPROVED,08 Oct 1952,103 min,"Comedy, Drama, Romance",Irving Reis,"Jan de Hartog (play), Jan de Hartog (screenplay), Allan Scott (screenplay)","Rex Harrison, Lilli Palmer","Adapted from the prize-winning Broadway play that featured two people and a four-poster bed, in which the couple enacts their marriage, from its day in 1897, until he dies, some time after she has died from cancer. It is a ""love"" that endured wars, an ""other"" woman, and the death of their favorite son. The episodes are bridged and linked by cartoon sequences done by UPA (United Productions of America.)",English,USA,Nominated for 1 Oscar. Another 1 win & 2 nominations.,https://m.media-amazon.com/images/M/MV5BZTc4MzU1OTAtZTdmYS00OGFlLWI4OGYtOWRmZDc3MjdiYWVhXkEyXkFqcGdeQXVyNTY4NjI2OTA@._V1_SX300.jpg,N/A,6.4,120,tt0044631,movie,N/A,N/A,Columbia Pictures,N/A,True,6.4/10,N/A,N/A,,,
465,The God without faith,Le bon Dieu sans confession,Claude Autant-Lara,France,0,venice,1953,N/A,https://en.wikipedia.org/wiki/Claude_Autant-Lara,Le bon Dieu sans confession,1953,N/A,09 Oct 1953,105 min,Drama,Claude Autant-Lara,"Paul Vialar (novel), Claude Autant-Lara, Ghislaine Autant-Lara, Roland Laudenbach","Danielle Darrieux, Henri Vilbert, Claude Laydu, Ivan Desny","Based on the novel by Paul Vialar. Stuck in a loveless marriage, bourgeois industrialist Francois falls in love with Janine, another man's wife.",French,France,1 win & 1 nomination.,https://m.media-amazon.com/images/M/MV5BZWMxMjZmZjgtNzJmMy00MDEzLWIyMDYtYTI2OGFkNmRlZjMzXkEyXkFqcGdeQXVyMTYzNTE3NDA@._V1_SX300.jpg,N/A,6.2,40,tt0045569,movie,N/A,N/A,N/A,N/A,True,6.2/10,N/A,N/A,,,
466,I Was a Parish Priest,La guerra de Dios,Rafael Gil,Spain,0,venice,1953,https://en.wikipedia.org/wiki/I_Was_a_Parish_Priest,https://en.wikipedia.org/wiki/Rafael_Gil,I Was a Parish Priest,1953,N/A,N/A,96 min,Drama,Rafael Gil,"Vicente Escrivá (screenplay), Vicente Escrivá (story), Ramón D. Faraldo","Claude Laydu, Francisco Rabal, José Marco Davó, Fernando Sancho","1930: Andrés, a young priest just out of the seminary, is intended to the imaginary village of Aldemoz, a poor mining parish. There will try by all means to end, through the Gospel, the justified anger of the miners, who live in a bloody misery and social injustice.",Spanish,Spain,7 wins & 1 nomination.,https://m.media-amazon.com/images/M/MV5BZDkzOWU1MGEtNDYwZS00NmM5LWE1ODItMzI5MzQxMTdjNDdjXkEyXkFqcGdeQXVyMjEyMDA5MTU@._V1_SX300.jpg,N/A,7.1,37,tt0045843,movie,N/A,N/A,N/A,N/A,True,7.1/10,N/A,N/A,,,
467,N/A,Ugetsu,Kenji Mizoguchi,Japan,0,venice,1953,https://en.wikipedia.org/wiki/Ugetsu,https://en.wikipedia.org/wiki/Kenji_Mizoguchi,Ugetsu,1953,Not Rated,07 Sep 1954,96 min,"Drama, Fantasy, War",Kenji Mizoguchi,"Matsutarô Kawaguchi (adaptation), Hisakazu Tsuji (idea), Akinari Ueda (stories), Yoshikata Yoda (screenplay)","Machiko Kyô, Mitsuko Mito, Kinuyo Tanaka, Masayuki Mori","In the beginning of the springtime in the period of the Japanese Civil Wars of the Sixteenth Century in Lake Biwa in the Province of Omi, the family man farmer and craftsman Genjurô travels to Nagahama to sell his wares and makes a small fortune. His neighbor Tobei that is a fool man dreams on becoming a samurai, but he can not afford to buy the necessary outfit. The greedy Genjurô and Tobei work together manufacturing clay potteries, expecting to sell the pieces and enrich; however, their wives Miyage and Ohama are worried about the army of the cruel Shibata that is coming to their village and they warn their ambitious husbands. Their village is looted but the families flee and survive; Genjurô and Tobei decide to travel by boat with their wives and baby to sell the wares in a bigger town. When they meet another boat that was attacked by pirates, Genjurô decides to leave his wife and son on the bank of the river, promising to return in ten days. Genjurô, Tobei and Ohama raise a large amount but Tobei leaves his wife to buy the samurai outfit and seek fame and fortune. Meanwhile the female aristocratic Lady Wakasa and her servant ask Genjurô to bring her shopping to her fancy Kutsuki House. Sooner Genjurô and Tobei discover the price they have to pay for their ambition.",Japanese,Japan,Nominated for 1 Oscar. Another 5 wins & 1 nomination.,https://m.media-amazon.com/images/M/MV5BNWRhYTZjMzUtYWJkOC00YjNmLWFmMzctNjI1MjFjOWQ3MmU1XkEyXkFqcGdeQXVyMTIyNzY1NzM@._V1_SX300.jpg,N/A,8.3,"18,926",tt0046478,movie,08 Nov 2005,"$6,154",Edward Harrison,N/A,True,8.3/10,100%,N/A,,,
468,Little Fugitive,N/A,"Ray Ashley, Morris Engel and Ruth Orkin",United States,0,venice,1953,https://en.wikipedia.org/wiki/Little_Fugitive_(1953_film),https://en.wikipedia.org/wiki/Ray_Ashley https://en.wikipedia.org/wiki/Morris_Engel https://en.wikipedia.org/wiki/Ruth_Orkin,Little Fugitive,1953,Not Rated,16 Dec 1953,80 min,"Drama, Family","Ray Ashley, Morris Engel, Ruth Orkin","Ray Ashley, Morris Engel, Ruth Orkin, Ray Ashley (screen play)","Richard Brewster, Winifred Cushing, Jay Williams, Will Lee","Joey, a young boy, runs away to Coney Island after he is tricked into believing he has killed his older brother. Joey collects glass bottles and turns them into money, which he uses to ride the rides.",English,USA,Nominated for 1 Oscar. Another 4 wins & 2 nominations.,https://m.media-amazon.com/images/M/MV5BMTg0OTU0NTIwN15BMl5BanBnXkFtZTcwMjY0NTEyMQ@@._V1_SX300.jpg,91,7.6,"2,118",tt0046004,movie,12 Oct 1999,"$21,548.00",Joseph Burstyn Incorporated,N/A,True,7.6/10,93%,91/100,,,
469,The Return of Vasili Bortnikov,Vozvrashshyeniye Vasiliya Bortnikova,Vsevolod Pudovkin,Russia,0,venice,1953,https://en.wikipedia.org/wiki/The_Return_of_Vasili_Bortnikov,https://en.wikipedia.org/wiki/Vsevolod_Pudovkin,,,,,,,,,,,,,,,,,,,,,,,,False,,,,Movie not found!,,
470,N/A,Sadko,Aleksandr Ptushko,Russia,0,venice,1953,https://en.wikipedia.org/wiki/Sadko_(film),https://en.wikipedia.org/wiki/Aleksandr_Ptushko,Sadko,1953,N/A,N/A,79 min,"Adventure, Fantasy",Aleksandr Ptushko,"Konstantin Isaev, Nikolai Rimsky-Korsakov (libretto)","Sergey Stolyarov, Alla Larionova, Ninel Myshkova, B. Surovtsev","An oddly Russian Sinbad seeks to bring happiness to his people - first by trying to give money and goods to the poor, then by seeking out the Blue Bird of Happiness.",Russian,Soviet Union,1 win & 1 nomination.,https://m.media-amazon.com/images/M/MV5BYTZmZGE2MGEtN2Q3YS00NTViLThiNDMtMzc5YjI5ZjYwODAxXkEyXkFqcGdeQXVyMzY1MzQyOTY@._V1_SX300.jpg,N/A,5.1,868,tt0046264,movie,21 Sep 2004,N/A,N/A,N/A,True,5.1/10,N/A,N/A,,,
471,Annaluise and Anton,Pünktchen und Anton,Thomas Engel,"West Germany, Austria",0,venice,1954,https://en.wikipedia.org/wiki/Annaluise_and_Anton,N/A,,,,,,,,,,,,,,,,,,,,,,,,False,,,,Movie not found!,,
472,The Bastard,Guacho,Lucas Demare,Argentina,0,venice,1954,https://en.wikipedia.org/wiki/The_Bastard_(1954_film),https://en.wikipedia.org/wiki/Lucas_Demare,The Bastard,1954,N/A,07 Jul 1954,97 min,Drama,Lucas Demare,"Lucas Demare, Concha Espina (story), Sergio Leonardo","Tita Merello, Carlos Cores, Julia Sandoval, Enrique Chaico",N/A,Spanish,Argentina,3 wins & 1 nomination.,https://m.media-amazon.com/images/M/MV5BODg4MjA2Y2MtYjMyMi00OWM0LWI5YzMtNzI4YzRkNWRkOGJkXkEyXkFqcGdeQXVyMTk4MDgwNA@@._V1_SX300.jpg,N/A,7.7,7,tt0180721,movie,N/A,N/A,N/A,N/A,True,7.7/10,N/A,N/A,,,
473,The Caine Mutiny,N/A,Edward Dmytryk,United States,0,venice,1954,https://en.wikipedia.org/wiki/The_Caine_Mutiny_(film),https://en.wikipedia.org/wiki/Edward_Dmytryk,The Caine Mutiny,1954,Not Rated,24 Jun 1954,124 min,"Drama, War",Edward Dmytryk,"Stanley Roberts (screen play), Michael Blankfort (additional dialogue), Herman Wouk (based upon the Pulitzer Prize winning novel by)","Humphrey Bogart, José Ferrer, Van Johnson, Fred MacMurray","During the World War II, the crew of a small insignificant ship in the U.S. Pacific Fleet experience an event unlike any event ever experience by the United States Navy. A Ship's Captain is removed from command by his Executive Officer in an apparent outright act of mutiny. As the trial of the mutineers unfold, it is learned that the Captain of the ship was mentally unstable, perhaps even insane. The Navy must decide if the Caine Mutiny was a criminal act, or an act of courage to save a ship from destruction at the hands of her Captain?",English,USA,Nominated for 7 Oscars. Another 6 nominations.,https://m.media-amazon.com/images/M/MV5BMTQ4ODg4NzA3OV5BMl5BanBnXkFtZTgwMDcwODI5MjE@._V1_SX300.jpg,63,7.7,"23,412",tt0046816,movie,08 Mar 2005,N/A,Sony Pictures Home Entertainment,N/A,True,7.7/10,92%,63/100,,,
474,Camelia,N/A,Roberto Gavaldón,"Mexico, Spain",0,venice,1954,https://en.wikipedia.org/wiki/Camelia_(1954_film),https://en.wikipedia.org/wiki/Roberto_Gavald%C3%B3n,Camelia,1954,N/A,N/A,110 min,"Drama, Romance",Roberto Gavaldón,"Alexandre Dumas fils (novel), José Arenas, Edmundo Báez, Roberto Gavaldón, Gregorio Walerstein","María Félix, Jorge Mistral, Carlos Navarro, Renée Dumas","A woman of low estate is beloved of a promising young man, but sacrifices her love for him in order to protect his future and reputation.",Spanish,"Mexico, Spain",2 nominations.,https://ia.media-imdb.com/images/M/MV5BMWQyYjkwM2EtODg2Zi00MDUwLTllOTgtZWE4MzlhMGE0N2JlXkEyXkFqcGdeQXVyMTk4MDgwNA@@._V1_SX300.jpg,N/A,6.9,36,tt0045593,movie,30 Nov 2004,N/A,Vanguard,N/A,True,6.9/10,N/A,N/A,,,
475,Castles in Spain,El torero,René Wheeler,"France, Spain",0,venice,1954,N/A,https://en.wikipedia.org/wiki/Ren%C3%A9_Wheeler,Castles in Spain,1954,N/A,09 Aug 1954,86 min,Drama,René Wheeler,"Javier Martínez de Bedoya (story), René Wheeler (adaptation), José Luis Colina (adaptation), Juan Antonio Bardem (dialogue)","Danielle Darrieux, Pepín Martín Vázquez, Silvia Morgan, Maurice Ronet",N/A,French,"France, Spain",N/A,N/A,N/A,5.3,10,tt0047596,movie,N/A,N/A,N/A,N/A,True,5.3/10,N/A,N/A,,,
